Stkcd,Reptdt,TobinQ
300181,2013/12/31,3.057819
300267,2013/12/31,2.644562
300286,2013/12/31,2.434786
300228,2013/12/31,2.933256
300263,2013/12/31,1.573507
300054,2013/12/31,3.028435
300074,2013/12/31,3.130704
300213,2013/12/31,1.407123
300165,2013/12/31,1.519724
300062,2013/12/31,1.384106
300144,2013/12/31,1.721525
300146,2013/12/31,5.305251
300294,2013/12/31,2.173232
300113,2013/12/31,3.635677
300174,2013/12/31,1.36203
300014,2013/12/31,4.705211
300011,2013/12/31,3.227053
300010,2013/12/31,2.047162
300148,2013/12/31,2.765669
300039,2013/12/31,3.513719
300050,2013/12/31,1.393885
300052,2013/12/31,3.634219
300046,2013/12/31,1.658004
300184,2013/12/31,2.132731
300253,2013/12/31,6.147504
300140,2013/12/31,3.093694
300019,2013/12/31,2.5388
300085,2013/12/31,3.750918
300127,2013/12/31,2.177837
300295,2013/12/31,2.874481
300227,2013/12/31,2.7167
300190,2013/12/31,1.85226
300084,2013/12/31,2.060972
300298,2013/12/31,2.941299
300204,2013/12/31,1.838922
300172,2013/12/31,1.747158
300095,2013/12/31,1.379561
300159,2013/12/31,1.454851
300110,2013/12/31,1.981837
300349,2013/12/31,1.883506
300035,2013/12/31,1.660072
300247,2013/12/31,1.587386
300124,2013/12/31,4.926595
300342,2013/12/31,2.178314
300233,2013/12/31,1.513256
300119,2013/12/31,1.801326
300017,2013/12/31,6.663719
300002,2013/12/31,3.010804
300341,2013/12/31,1.690266
300145,2013/12/31,2.364605
300068,2013/12/31,1.240556
300238,2013/12/31,4.217223
300284,2013/12/31,1.570435
300347,2013/12/31,4.943109
300231,2013/12/31,2.223405
300177,2013/12/31,2.712864
300030,2013/12/31,2.488779
300336,2013/12/31,2.290053
300274,2013/12/31,1.935375
300334,2013/12/31,2.689429
300126,2013/12/31,1.376701
300199,2013/12/31,3.62307
300237,2013/12/31,1.451573
300008,2013/12/31,2.877914
300225,2013/12/31,1.457201
300304,2013/12/31,1.64318
300241,2013/12/31,1.769721
300015,2013/12/31,5.368916
300216,2013/12/31,1.514336
300303,2013/12/31,2.369209
300210,2013/12/31,1.453005
300101,2013/12/31,3.820418
300104,2013/12/31,4.603866
300289,2013/12/31,2.165568
300221,2013/12/31,1.270747
300354,2013/12/31,1.854239
300112,2013/12/31,2.668714
300103,2013/12/31,1.942307
300125,2013/12/31,1.260057
300249,2013/12/31,1.60684
300003,2013/12/31,3.891911
300154,2013/12/31,1.586201
300275,2013/12/31,2.226797
300037,2013/12/31,1.728978
300224,2013/12/31,1.353855
300212,2013/12/31,2.609227
300218,2013/12/31,1.250579
300047,2013/12/31,1.841461
300042,2013/12/31,1.554301
300138,2013/12/31,1.238319
300339,2013/12/31,2.058436
300092,2013/12/31,1.29241
300114,2013/12/31,2.3547
300041,2013/12/31,2.199743
300320,2013/12/31,1.510338
300067,2013/12/31,1.554971
300251,2013/12/31,2.770056
300072,2013/12/31,2.909522
300105,2013/12/31,2.276967
300301,2013/12/31,1.422696
300009,2013/12/31,3.710735
300115,2013/12/31,4.201533
300306,2013/12/31,1.493984
300078,2013/12/31,2.005657
300001,2013/12/31,2.310967
300321,2013/12/31,1.624065
300006,2013/12/31,2.285706
300264,2013/12/31,1.816011
300296,2013/12/31,1.471846
300121,2013/12/31,1.693996
300097,2013/12/31,2.566467
300027,2013/12/31,3.764019
300200,2013/12/31,1.61361
300088,2013/12/31,2.95212
300117,2013/12/31,1.170776
300099,2013/12/31,1.772785
300120,2013/12/31,1.612572
300259,2013/12/31,2.162303
300338,2013/12/31,1.326039
300310,2013/12/31,1.571172
300194,2013/12/31,1.27275
300261,2013/12/31,1.659603
300229,2013/12/31,1.943199
300250,2013/12/31,2.084313
300188,2013/12/31,1.729315
300319,2013/12/31,2.035745
300070,2013/12/31,3.247369
300348,2013/12/31,1.844845
300152,2013/12/31,1.67677
300134,2013/12/31,1.649612
300091,2013/12/31,1.912699
300256,2013/12/31,1.239337
300222,2013/12/31,1.517727
300043,2013/12/31,1.679158
300163,2013/12/31,1.53781
300007,2013/12/31,1.683042
300141,2013/12/31,1.722449
300322,2013/12/31,2.606474
300331,2013/12/31,3.003322
300147,2013/12/31,2.583962
300324,2013/12/31,2.142384
300193,2013/12/31,1.330902
300018,2013/12/31,1.65915
300179,2013/12/31,1.462508
300234,2013/12/31,2.042861
300158,2013/12/31,1.224137
300223,2013/12/31,2.210621
300153,2013/12/31,1.48697
300343,2013/12/31,2.228606
300272,2013/12/31,2.517401
300215,2013/12/31,2.533375
300162,2013/12/31,1.348605
300327,2013/12/31,3.192936
300034,2013/12/31,3.25362
300255,2013/12/31,2.247938
300291,2013/12/31,2.714635
300281,2013/12/31,1.328108
300056,2013/12/31,2.813254
300209,2013/12/31,1.32604
300107,2013/12/31,2.049495
300021,2013/12/31,2.119908
300329,2013/12/31,1.534816
300202,2013/12/31,3.933504
300051,2013/12/31,3.277749
300087,2013/12/31,1.359169
300196,2013/12/31,1.673659
300118,2013/12/31,1.251942
300016,2013/12/31,3.603433
300066,2013/12/31,1.907763
300036,2013/12/31,2.030704
300048,2013/12/31,1.477383
300203,2013/12/31,1.442933
300230,2013/12/31,1.42704
300244,2013/12/31,5.000582
300257,2013/12/31,2.255086
300186,2013/12/31,1.262721
300090,2013/12/31,2.171252
300356,2013/12/31,1.648715
300314,2013/12/31,2.131131
300026,2013/12/31,5.020513
300340,2013/12/31,1.371175
300129,2013/12/31,1.184201
300024,2013/12/31,6.133729
300132,2013/12/31,1.645602
300150,2013/12/31,1.477829
300245,2013/12/31,1.874279
300176,2013/12/31,1.140198
300246,2013/12/31,3.08006
300211,2013/12/31,1.598172
300058,2013/12/31,2.706908
300206,2013/12/31,1.669162
300076,2013/12/31,2.023569
300325,2013/12/31,1.403659
300214,2013/12/31,1.189004
300151,2013/12/31,1.535683
300136,2013/12/31,2.737544
300313,2013/12/31,1.918149
300345,2013/12/31,1.681447
300086,2013/12/31,1.172567
300352,2013/12/31,2.917476
300073,2013/12/31,1.88779
300285,2013/12/31,2.132623
300083,2013/12/31,1.760148
300195,2013/12/31,1.574753
300135,2013/12/31,1.574799
300031,2013/12/31,1.667603
300235,2013/12/31,2.475269
300335,2013/12/31,2.658425
300197,2013/12/31,1.492702
300207,2013/12/31,1.452584
300005,2013/12/31,3.335348
300265,2013/12/31,1.224899
300290,2013/12/31,2.16299
300311,2013/12/31,1.918032
300280,2013/12/31,1.213308
300160,2013/12/31,1.137943
300242,2013/12/31,1.914222
300240,2013/12/31,1.172674
300164,2013/12/31,2.081192
300205,2013/12/31,2.393025
300262,2013/12/31,2.384367
300142,2013/12/31,1.44869
300149,2013/12/31,2.904986
300191,2013/12/31,2.891644
300271,2013/12/31,2.595883
300353,2013/12/31,2.686941
300045,2013/12/31,4.503898
300077,2013/12/31,1.920099
300004,2013/12/31,4.622082
300123,2013/12/31,1.986828
300288,2013/12/31,3.078266
300182,2013/12/31,1.989565
300081,2013/12/31,1.495476
300333,2013/12/31,2.021762
300226,2013/12/31,2.773346
300093,2013/12/31,1.425406
300131,2013/12/31,1.583797
300239,2013/12/31,3.205226
300053,2013/12/31,2.577386
300079,2013/12/31,2.212102
300323,2013/12/31,1.309821
300065,2013/12/31,1.75015
300168,2013/12/31,2.831964
300040,2013/12/31,1.247028
300350,2013/12/31,1.556837
300337,2013/12/31,1.416674
300300,2013/12/31,2.429218
300096,2013/12/31,4.061672
300069,2013/12/31,1.525297
300201,2013/12/31,1.821322
300075,2013/12/31,2.791286
300305,2013/12/31,1.209879
300307,2013/12/31,1.179978
300317,2013/12/31,1.376907
300100,2013/12/31,1.540814
300082,2013/12/31,1.267125
300098,2013/12/31,1.958977
300232,2013/12/31,1.554231
300198,2013/12/31,1.690033
300102,2013/12/31,1.473013
300173,2013/12/31,1.318388
300318,2013/12/31,1.776485
300236,2013/12/31,1.769215
300133,2013/12/31,6.789312
300180,2013/12/31,1.374029
300106,2013/12/31,2.122347
300316,2013/12/31,1.482564
300330,2013/12/31,2.287235
300328,2013/12/31,1.527793
300273,2013/12/31,4.452799
300080,2013/12/31,1.07169
300302,2013/12/31,1.832228
300258,2013/12/31,1.362064
300185,2013/12/31,1.04038
300283,2013/12/31,1.321463
300063,2013/12/31,1.213913
300155,2013/12/31,1.60899
300346,2013/12/31,1.653401
300252,2013/12/31,1.523389
300326,2013/12/31,3.216477
300243,2013/12/31,1.428655
300170,2013/12/31,2.037736
300013,2013/12/31,2.138889
300299,2013/12/31,2.382914
300055,2013/12/31,3.175847
300287,2013/12/31,2.697932
300089,2013/12/31,1.361964
300038,2013/12/31,1.573899
300192,2013/12/31,1.428058
300109,2013/12/31,2.215486
300111,2013/12/31,1.994373
300297,2013/12/31,2.309956
300219,2013/12/31,1.495568
300344,2013/12/31,1.405367
300270,2013/12/31,1.978735
300171,2013/12/31,1.403491
300183,2013/12/31,1.726021
300137,2013/12/31,2.855961
300266,2013/12/31,1.495391
300351,2013/12/31,1.519339
300308,2013/12/31,1.434952
300187,2013/12/31,1.993209
300161,2013/12/31,1.63636
300057,2013/12/31,1.464058
300175,2013/12/31,1.620921
300020,2013/12/31,2.934848
300028,2013/12/31,1.745101
300122,2013/12/31,3.357596
300061,2013/12/31,1.742682
300157,2013/12/31,2.441704
300279,2013/12/31,1.81506
300049,2013/12/31,2.698037
300128,2013/12/31,2.974226
300208,2013/12/31,1.50712
300260,2013/12/31,1.267166
300025,2013/12/31,1.718282
300312,2013/12/31,1.488352
300166,2013/12/31,1.723863
300178,2013/12/31,2.053574
300217,2013/12/31,1.647484
300139,2013/12/31,2.020065
300276,2013/12/31,1.665784
300094,2013/12/31,1.431716
300332,2013/12/31,2.374944
300315,2013/12/31,5.573766
300189,2013/12/31,1.392085
300293,2013/12/31,1.452435
300022,2013/12/31,1.416838
300156,2013/12/31,1.372256
300167,2013/12/31,2.265492
300355,2013/12/31,2.289091
300269,2013/12/31,2.089185
300277,2013/12/31,1.508506
300358,2014/12/31,1.662278
300208,2014/12/31,2.376833
300056,2014/12/31,3.465562
300196,2014/12/31,2.258576
300131,2014/12/31,4.269611
300286,2014/12/31,2.02037
300390,2014/12/31,2.24751
300317,2014/12/31,1.910607
300294,2014/12/31,2.494588
300198,2014/12/31,1.951206
300239,2014/12/31,3.142962
300357,2014/12/31,3.291971
300242,2014/12/31,4.550493
300193,2014/12/31,1.467189
300238,2014/12/31,6.863804
300241,2014/12/31,1.923716
300335,2014/12/31,2.559693
300353,2014/12/31,3.262279
300030,2014/12/31,3.199471
300256,2014/12/31,1.252541
300125,2014/12/31,1.257346
300179,2014/12/31,2.112812
300204,2014/12/31,3.33465
300363,2014/12/31,1.791485
300299,2014/12/31,2.323971
300144,2014/12/31,2.212168
300201,2014/12/31,2.579664
300146,2014/12/31,3.71287
300253,2014/12/31,8.73467
300226,2014/12/31,5.661742
300267,2014/12/31,5.550318
300009,2014/12/31,4.088118
300351,2014/12/31,2.25578
300328,2014/12/31,1.83378
300134,2014/12/31,4.078793
300140,2014/12/31,2.914466
300054,2014/12/31,2.911982
300139,2014/12/31,3.0399
300055,2014/12/31,2.583827
300141,2014/12/31,2.109081
300227,2014/12/31,4.557496
300289,2014/12/31,1.744808
300127,2014/12/31,2.722804
300365,2014/12/31,1.986907
300322,2014/12/31,2.607205
300295,2014/12/31,3.695118
300379,2014/12/31,1.914962
300345,2014/12/31,1.97631
300316,2014/12/31,2.236206
300221,2014/12/31,2.37017
300121,2014/12/31,1.688025
300237,2014/12/31,1.388727
300199,2014/12/31,3.791852
300406,2014/12/31,2.614309
300165,2014/12/31,1.695762
300184,2014/12/31,1.923069
300072,2014/12/31,2.742756
300305,2014/12/31,1.298297
300303,2014/12/31,2.327609
300017,2014/12/31,5.742091
300111,2014/12/31,2.19075
300190,2014/12/31,2.311765
300380,2014/12/31,3.042916
300067,2014/12/31,2.219324
300247,2014/12/31,2.197914
300209,2014/12/31,2.283251
300216,2014/12/31,3.259175
300341,2014/12/31,2.109834
300281,2014/12/31,1.55011
300172,2014/12/31,2.286875
300395,2014/12/31,1.935944
300298,2014/12/31,2.348386
300074,2014/12/31,2.925757
300323,2014/12/31,1.273331
300398,2014/12/31,2.237837
300225,2014/12/31,2.227214
300133,2014/12/31,2.701808
300195,2014/12/31,1.326805
300003,2014/12/31,4.537199
300046,2014/12/31,2.011472
300105,2014/12/31,2.336117
300078,2014/12/31,1.723952
300164,2014/12/31,1.980241
300006,2014/12/31,2.492056
300124,2014/12/31,4.154764
300288,2014/12/31,5.053874
300031,2014/12/31,2.099209
300058,2014/12/31,1.939202
300178,2014/12/31,2.554576
300043,2014/12/31,1.641025
300095,2014/12/31,1.761077
300019,2014/12/31,2.588511
300142,2014/12/31,1.741382
300396,2014/12/31,1.970524
300349,2014/12/31,1.78226
300254,2014/12/31,2.338096
300073,2014/12/31,2.946893
300101,2014/12/31,4.571144
300037,2014/12/31,2.31596
300166,2014/12/31,2.932425
300231,2014/12/31,5.536493
300275,2014/12/31,2.430671
300272,2014/12/31,3.393114
300068,2014/12/31,1.419647
300255,2014/12/31,2.761415
300249,2014/12/31,1.438076
300138,2014/12/31,1.450018
300154,2014/12/31,1.732332
300284,2014/12/31,1.430723
300283,2014/12/31,1.51053
300212,2014/12/31,3.188857
300412,2014/12/31,1.379351
300403,2014/12/31,1.969331
300271,2014/12/31,2.88619
300039,2014/12/31,3.149549
300304,2014/12/31,1.475589
300339,2014/12/31,1.797396
300384,2014/12/31,1.570698
300332,2014/12/31,1.854271
300310,2014/12/31,1.705142
300048,2014/12/31,2.212936
300210,2014/12/31,1.789147
300293,2014/12/31,1.506792
300081,2014/12/31,2.832155
300066,2014/12/31,2.657922
300207,2014/12/31,1.550481
300222,2014/12/31,1.850909
300071,2014/12/31,2.807811
300113,2014/12/31,3.128089
300218,2014/12/31,1.459901
300032,2014/12/31,2.083328
300188,2014/12/31,3.022304
300090,2014/12/31,1.6043
300114,2014/12/31,3.338583
300181,2014/12/31,2.986597
300334,2014/12/31,2.475199
300200,2014/12/31,3.523053
300027,2014/12/31,2.907851
300392,2014/12/31,2.529791
300393,2014/12/31,1.727808
300180,2014/12/31,1.882406
300047,2014/12/31,1.944804
300264,2014/12/31,2.414493
300163,2014/12/31,1.603287
300338,2014/12/31,1.503094
300250,2014/12/31,3.323058
300259,2014/12/31,2.458504
300038,2014/12/31,1.676176
300194,2014/12/31,1.96704
300007,2014/12/31,1.896117
300360,2014/12/31,1.756674
300378,2014/12/31,1.747169
300223,2014/12/31,2.205537
300290,2014/12/31,2.546374
300126,2014/12/31,2.338044
300401,2014/12/31,1.82243
300306,2014/12/31,1.551443
300008,2014/12/31,2.108542
300092,2014/12/31,1.731165
300354,2014/12/31,2.487669
300234,2014/12/31,3.121285
300130,2014/12/31,1.765386
300103,2014/12/31,2.162267
300109,2014/12/31,4.553734
300036,2014/12/31,2.748398
300120,2014/12/31,2.270984
300091,2014/12/31,2.70865
300016,2014/12/31,4.466082
300287,2014/12/31,1.876999
300325,2014/12/31,1.595941
300327,2014/12/31,2.521399
300104,2014/12/31,2.533088
300082,2014/12/31,1.247114
300080,2014/12/31,1.119271
300115,2014/12/31,2.859209
300026,2014/12/31,3.753455
300044,2014/12/31,2.498242
300400,2014/12/31,2.209518
300375,2014/12/31,1.567321
300015,2014/12/31,6.001471
300042,2014/12/31,1.792604
300215,2014/12/31,1.917814
300168,2014/12/31,6.531225
300269,2014/12/31,1.893223
300098,2014/12/31,2.27876
300232,2014/12/31,1.942532
300174,2014/12/31,1.782205
300376,2014/12/31,1.493449
300265,2014/12/31,2.011791
300108,2014/12/31,1.297607
300399,2014/12/31,2.949667
300150,2014/12/31,2.166589
300050,2014/12/31,1.338658
300371,2014/12/31,2.047257
300233,2014/12/31,2.851364
300388,2014/12/31,1.296712
300118,2014/12/31,1.226039
300145,2014/12/31,2.347948
300213,2014/12/31,2.814104
300224,2014/12/31,3.119835
300301,2014/12/31,1.544401
300382,2014/12/31,1.813078
300321,2014/12/31,2.052478
300389,2014/12/31,1.829487
300001,2014/12/31,2.868624
300116,2014/12/31,1.443075
300342,2014/12/31,1.896857
300240,2014/12/31,1.522975
300106,2014/12/31,1.747016
300077,2014/12/31,2.499183
300205,2014/12/31,3.294781
300119,2014/12/31,1.521967
300012,2014/12/31,3.056314
300329,2014/12/31,2.138591
300314,2014/12/31,2.101373
300024,2014/12/31,8.109784
300245,2014/12/31,2.837764
300211,2014/12/31,2.113891
300203,2014/12/31,3.223958
300170,2014/12/31,3.327146
300085,2014/12/31,5.296832
300291,2014/12/31,1.754706
300246,2014/12/31,4.745143
300051,2014/12/31,3.236218
300087,2014/12/31,1.614041
300148,2014/12/31,2.428115
300010,2014/12/31,2.479876
300279,2014/12/31,1.928682
300347,2014/12/31,3.253372
300034,2014/12/31,4.979462
300261,2014/12/31,3.288674
300312,2014/12/31,1.645542
300107,2014/12/31,2.216407
300407,2014/12/31,1.791189
300089,2014/12/31,1.47101
300214,2014/12/31,1.492935
300057,2014/12/31,1.239994
300185,2014/12/31,1.165653
300405,2014/12/31,1.426095
300153,2014/12/31,2.038586
300274,2014/12/31,2.167736
300331,2014/12/31,2.886975
300005,2014/12/31,3.941651
300132,2014/12/31,2.191312
300136,2014/12/31,4.086141
300251,2014/12/31,4.861071
300189,2014/12/31,1.895446
300065,2014/12/31,3.632436
300262,2014/12/31,3.451233
300243,2014/12/31,1.862314
300158,2014/12/31,1.256108
300040,2014/12/31,1.525731
300149,2014/12/31,2.126773
300391,2014/12/31,1.668653
300206,2014/12/31,2.052883
300062,2014/12/31,1.505952
300340,2014/12/31,1.667959
300300,2014/12/31,2.266561
300021,2014/12/31,2.292377
300110,2014/12/31,2.213768
300129,2014/12/31,1.32503
300173,2014/12/31,1.543573
300135,2014/12/31,1.797562
300258,2014/12/31,2.119371
300368,2014/12/31,2.431923
300084,2014/12/31,2.221935
300177,2014/12/31,2.980571
300088,2014/12/31,2.560977
300235,2014/12/31,4.09766
300202,2014/12/31,7.749418
300408,2014/12/31,1.430255
300285,2014/12/31,1.832125
300336,2014/12/31,2.10904
300197,2014/12/31,1.606017
300302,2014/12/31,2.148498
300409,2014/12/31,1.777346
300022,2014/12/31,2.161775
300260,2014/12/31,1.441682
300122,2014/12/31,2.995153
300069,2014/12/31,1.977067
300318,2014/12/31,2.00868
300383,2014/12/31,2.150604
300161,2014/12/31,2.056128
300086,2014/12/31,2.04138
300083,2014/12/31,1.27918
300280,2014/12/31,1.800572
300100,2014/12/31,1.404986
300093,2014/12/31,1.819843
300096,2014/12/31,3.73551
300045,2014/12/31,3.04587
300276,2014/12/31,2.562297
300097,2014/12/31,2.899924
300257,2014/12/31,3.554032
300075,2014/12/31,2.674711
300079,2014/12/31,2.444623
300346,2014/12/31,1.518611
300333,2014/12/31,2.803196
300311,2014/12/31,2.121493
300175,2014/12/31,2.46867
300330,2014/12/31,2.707962
300167,2014/12/31,2.386307
300147,2014/12/31,2.841773
300356,2014/12/31,1.394106
300052,2014/12/31,3.79557
300018,2014/12/31,2.655569
300410,2014/12/31,1.276959
300381,2014/12/31,1.522429
300169,2014/12/31,1.419574
300373,2014/12/31,1.933168
300014,2014/12/31,3.100811
300128,2014/12/31,1.692737
300348,2014/12/31,2.788843
300099,2014/12/31,1.868168
300297,2014/12/31,2.266938
300061,2014/12/31,1.996712
300229,2014/12/31,2.714832
300041,2014/12/31,2.375409
300152,2014/12/31,1.518032
300162,2014/12/31,5.549754
300411,2014/12/31,1.284083
300076,2014/12/31,2.151991
300176,2014/12/31,1.53532
300387,2014/12/31,1.72825
300236,2014/12/31,3.045944
300220,2014/12/31,4.894438
300402,2014/12/31,1.465743
300013,2014/12/31,3.172624
300385,2014/12/31,1.76204
300004,2014/12/31,2.055647
300355,2014/12/31,1.715318
300352,2014/12/31,4.373735
300053,2014/12/31,3.96921
300326,2014/12/31,1.705582
300117,2014/12/31,1.256085
300191,2014/12/31,2.490357
300277,2014/12/31,1.715437
300020,2014/12/31,2.228504
300268,2014/12/31,1.621693
300217,2014/12/31,1.935694
300337,2014/12/31,1.436195
300263,2014/12/31,1.898429
300070,2014/12/31,2.787074
300230,2014/12/31,1.967417
300219,2014/12/31,1.609093
300344,2014/12/31,1.522359
300035,2014/12/31,1.709598
300308,2014/12/31,2.155435
300137,2014/12/31,3.634702
300377,2014/12/31,3.253561
300369,2014/12/31,2.275915
300270,2014/12/31,2.327058
300266,2014/12/31,2.46972
300157,2014/12/31,1.853661
300171,2014/12/31,1.551858
300366,2014/12/31,2.210338
300182,2014/12/31,2.389673
300002,2014/12/31,2.698414
300155,2014/12/31,2.899752
300307,2014/12/31,1.143764
300320,2014/12/31,1.863025
300228,2014/12/31,2.285414
300151,2014/12/31,2.281962
300049,2014/12/31,3.093182
300273,2014/12/31,4.239322
300187,2014/12/31,4.291754
300362,2014/12/31,1.35568
300386,2014/12/31,2.249543
300123,2014/12/31,2.355969
300397,2014/12/31,2.421926
300282,2014/12/31,1.271853
300186,2014/12/31,1.625893
300102,2014/12/31,1.525429
300094,2014/12/31,1.615864
300401,2015/12/31,3.979634
300301,2015/12/31,1.741807
300298,2015/12/31,5.511035
300125,2015/12/31,2.064029
300131,2015/12/31,3.073424
300227,2015/12/31,8.586718
300450,2015/12/31,2.862547
300437,2015/12/31,4.4493
300376,2015/12/31,1.601718
300118,2015/12/31,1.507016
300161,2015/12/31,4.215024
300271,2015/12/31,4.547221
300443,2015/12/31,2.938704
300363,2015/12/31,2.466145
300132,2015/12/31,3.564729
300140,2015/12/31,5.402606
300453,2015/12/31,3.074832
300278,2015/12/31,2.380669
300121,2015/12/31,2.641207
300175,2015/12/31,4.741342
300233,2015/12/31,4.108125
300095,2015/12/31,3.388003
300243,2015/12/31,2.927576
300336,2015/12/31,5.156313
300193,2015/12/31,2.391138
300228,2015/12/31,2.387958
300259,2015/12/31,3.661026
300146,2015/12/31,3.21805
300014,2015/12/31,4.927453
300144,2015/12/31,5.25135
300191,2015/12/31,7.654224
300122,2015/12/31,4.754656
300204,2015/12/31,5.851296
300203,2015/12/31,4.136081
300077,2015/12/31,3.925392
300432,2015/12/31,2.544582
300009,2015/12/31,8.027171
300441,2015/12/31,3.869085
300485,2015/12/31,3.024
300283,2015/12/31,2.873069
300163,2015/12/31,3.761721
300148,2015/12/31,3.11196
300335,2015/12/31,2.631862
300414,2015/12/31,3.15972
300105,2015/12/31,2.30622
300314,2015/12/31,6.362101
300316,2015/12/31,5.317864
300024,2015/12/31,6.894379
300430,2015/12/31,2.392918
300245,2015/12/31,9.198887
300111,2015/12/31,2.975137
300457,2015/12/31,2.85699
300116,2015/12/31,2.637433
300360,2015/12/31,2.433783
300322,2015/12/31,6.061284
300073,2015/12/31,3.927099
300421,2015/12/31,2.322299
300408,2015/12/31,4.142621
300383,2015/12/31,8.954064
300244,2015/12/31,6.142758
300375,2015/12/31,1.925861
300068,2015/12/31,1.900137
300172,2015/12/31,3.138984
300087,2015/12/31,3.076122
300176,2015/12/31,2.245306
300403,2015/12/31,3.225009
300072,2015/12/31,2.616979
